iter	Passed	Remaining
0	441	21633
1	734	17634
2	1051	16477
3	1430	16452
4	1762	15863
5	2071	15194
6	2457	15094
7	2832	14871
8	3262	14863
9	3731	14924
10	4055	14379
11	4385	13886
12	4882	13896
13	5400	13886
14	5721	13349
15	6109	12983
16	6427	12477
17	6724	11954
18	7132	11637
19	7507	11261
20	7834	10819
21	8231	10476
22	8562	10051
23	8932	9676
24	9361	9361
25	9652	8910
26	9949	8475
27	10329	8116
28	10665	7723
29	10958	7305
30	11263	6903
31	11524	6482
32	11849	6104
33	12258	5768
34	12598	5399
35	12906	5019
36	13291	4670
